date,current,open,high,low,volume,trade_volume
20200228,398,417,417,396,399007,162
20200227,410,419,419,406,262866,107
20200226,412,414,414,405,183951,75
20200225,414,407,430,400,158650,65
20200224,397,411,417,390,280017,113
20200221,420,418,429,417,123914,52
20200220,420,423,426,419,99982,42
20200219,423,428,428,421,85387,36
20200218,428,436,436,428,79826,34
20200217,436,435,440,431,26296,11
20200214,435,447,447,431,105095,46
20200213,439,443,449,430,140063,61
20200212,443,444,444,429,156802,68
20200211,439,422,461,422,619592,271
20200210,425,426,426,417,51143,21
20200207,426,432,432,420,144438,61
20200206,429,438,438,422,90302,39
20200205,434,424,435,418,120901,52
20200204,419,425,425,412,98305,41
20200203,418,405,420,380,152628,62
20200131,412,425,429,412,97223,41
20200130,423,434,434,418,75356,32
20200129,429,428,434,425,112372,48
20200128,428,438,438,410,179506,77
20200123,458,459,461,451,91455,42
20200122,460,456,464,443,125438,57
20200121,456,446,470,443,479770,219
20200120,446,445,446,438,149913,66
20200117,445,440,445,438,100173,44
20200116,439,435,441,435,191359,84
20200115,435,434,439,430,125013,54
20200114,434,441,441,432,140821,61
20200113,438,431,439,430,213600,93
20200110,431,423,432,423,170491,73
20200109,422,416,424,416,111247,47
20200108,415,417,421,413,167522,70
20200107,420,416,424,415,166575,70
20200106,416,427,429,414,180748,76
20200103,432,425,432,423,171493,73
20200102,425,427,430,422,98139,42
20191230,427,433,433,425,94115,40
20191227,431,432,433,426,21468,9
20191226,432,421,433,421,30793,13
20191224,427,432,433,426,79736,34
20191223,432,438,442,426,192826,84
20191220,435,431,436,425,215449,93
20191219,431,429,432,424,86205,37
20191218,429,432,432,419,98022,42
20191217,429,423,431,403,288299,122
20191216,427,434,436,423,141410,60
20191213,432,445,458,424,377882,165
20191212,432,421,432,420,144441,62
20191211,424,427,427,420,77176,33
20191210,428,431,440,424,61993,27
20191209,431,425,435,419,95854,41
20191206,425,438,438,413,438540,185
20191205,438,442,447,432,18647936,8477
20191204,442,455,455,442,100634,45
20191203,455,449,455,445,126875,57
20191202,455,450,456,447,143046,65
20191129,453,459,465,450,209906,96
20191128,457,454,459,442,240896,108
20191127,451,446,453,440,247817,110
20191126,444,445,451,435,391098,173
20191125,438,435,456,430,628891,275
20191122,435,447,448,428,543351,235
20191121,440,453,461,439,871136,389
20191120,456,466,467,451,607250,278
20191119,467,471,471,455,444065,205
20191118,471,480,493,457,1405812,660
20191115,473,445,490,442,5136862,2396
20191114,436,426,444,422,793298,344
20191113,422,428,434,420,179937,76
20191112,432,430,436,415,332882,143
20191111,430,440,440,412,467342,198
20191108,430,427,482,425,3896782,1739
20191107,417,417,417,408,52178,21
20191106,417,414,418,411,77785,32
20191105,413,415,416,412,54767,23
20191104,414,413,415,410,59292,24
20191101,413,415,415,408,240728,99
20191031,413,419,419,412,54479,23
20191030,417,420,421,414,169052,70
20191029,419,417,422,411,87657,37
20191028,417,413,419,410,265274,109
20191025,415,410,417,409,558828,230
20191024,410,416,416,404,68046,28
20191023,416,417,425,400,395655,164
20191022,418,422,427,411,113797,47
20191021,422,430,436,420,201681,85
20191018,432,439,443,429,111541,48
20191017,439,442,444,435,70078,31
20191016,442,448,449,438,170894,76
20191015,446,448,450,442,64242,29
20191014,448,454,459,446,104803,47
20191011,453,451,460,448,355199,161
20191010,449,444,461,444,226120,102
20191008,450,444,450,435,339662,151
20191007,444,448,448,435,159197,71
20191004,444,447,451,441,204394,92
20191002,448,444,449,441,233544,104
20191001,448,449,450,442,324199,145
20190930,445,454,454,440,416169,186
20190927,452,455,455,444,107640,48
20190926,451,458,461,450,206202,94
20190925,457,465,466,450,398367,184
20190924,465,465,466,462,157224,73
20190923,463,462,467,461,196511,91
20190920,462,462,470,462,146264,68
20190919,467,469,470,462,99093,46
20190918,468,469,471,460,1772087,766
20190917,470,470,473,466,82891,39
20190916,469,460,470,459,368371,171
20190911,465,467,468,459,212832,99
20190910,466,453,468,453,288374,134
20190909,460,455,463,449,547202,250
20190906,457,450,465,450,367245,169
20190905,457,453,466,445,824166,349
20190904,453,447,456,429,371704,167
20190903,448,445,455,445,465603,210
20190902,453,450,455,441,532492,239
20190830,457,450,462,450,255779,117
20190829,450,451,453,448,50476,23
20190828,450,442,451,442,61454,27
20190827,447,448,454,445,64751,29
20190826,448,454,454,443,237242,106
20190823,454,443,456,441,218121,99
20190822,448,458,458,446,188633,85
20190821,458,458,462,452,171402,78
20190820,458,455,463,455,87552,40
20190819,455,447,460,444,184969,84
20190816,448,447,454,438,294647,131
20190814,449,455,462,447,166722,75
20190813,451,454,454,445,240599,108
20190812,450,436,452,433,455145,203
20190809,437,434,440,430,290255,127
20190808,430,405,445,405,652014,279
20190807,405,378,407,378,437143,175
20190806,387,390,404,378,573908,226
20190805,404,429,429,404,188179,78
20190802,429,438,438,421,226030,97
20190801,438,428,438,420,161164,69
20190731,425,423,430,409,361361,152
20190730,426,405,431,405,511242,215
20190729,413,421,424,400,740089,305
20190726,425,428,431,412,654758,276
20190725,425,430,433,419,431347,183
20190724,430,429,437,424,6654350,2860
20190723,429,424,433,420,406322,173
20190722,424,431,436,417,580181,246
20190719,432,449,452,428,1077717,470
20190718,446,457,532,445,8543482,4101
20190717,456,460,460,444,268223,121
20190716,456,455,460,452,119869,55
20190715,455,460,467,450,223404,102
20190712,458,455,463,452,349634,159
20190711,451,451,454,449,265942,120
20190710,451,449,460,446,291121,131
20190709,453,463,466,447,314559,144
20190708,463,474,478,460,328878,153
20190705,477,480,481,470,125515,60
20190704,478,482,483,473,109549,52
20190703,477,492,492,477,1311083,600
20190702,486,482,490,479,236169,115
20190701,480,502,502,478,370944,180
20190628,491,487,510,482,448225,223
20190627,484,490,491,483,153059,74
20190626,484,488,489,481,75780,37
20190625,486,490,495,482,124372,60
20190624,489,491,501,486,239735,117
20190621,496,485,503,484,335993,166
20190620,487,489,498,474,312860,151
20190619,489,489,495,485,217034,106
20190618,480,483,486,479,111941,54
20190617,480,489,489,475,206171,99
20190614,474,482,482,472,191260,91
20190613,482,499,499,477,393897,191
20190612,494,499,501,491,104655,52
20190611,499,505,509,490,766574,343
20190610,508,503,510,492,197456,99
20190607,501,483,508,483,202479,101
20190605,483,488,500,481,171866,84
20190604,486,473,493,473,173663,83
20190603,472,468,472,466,64684,30
20190531,470,466,472,465,115479,54
20190530,466,477,480,466,143977,68
20190529,479,486,486,475,6066323,2882
20190528,485,482,485,475,134496,65
20190527,476,500,500,472,399490,191
20190524,494,488,500,482,204373,100
20190523,495,503,505,488,326849,161
20190522,502,502,510,495,191022,95
20190521,502,510,514,495,257555,129
20190520,510,507,521,505,142398,73
20190517,506,513,518,506,103821,53
20190516,506,514,515,502,247210,126
20190515,513,506,514,502,51520,26
20190514,506,506,511,491,116292,59
20190513,509,526,527,509,183497,94
20190510,527,529,543,511,197076,103
20190509,529,538,544,519,288613,153
20190508,535,530,540,525,143253,76
20190507,528,522,550,511,172460,91
20190503,533,528,535,523,160423,85
20190502,527,511,529,511,162925,85
20190430,516,517,526,510,224218,116
20190429,509,519,519,502,266741,136
20190426,519,520,537,502,540692,277
20190425,520,536,538,520,506047,267
20190424,536,553,553,536,544914,294
20190423,544,552,556,540,1154676,629
20190422,556,561,572,549,590000,328
20190419,561,562,569,543,887031,492
20190418,568,563,574,562,262505,149
20190417,566,583,585,561,450250,258
20190416,579,600,600,573,935679,544
20190415,600,604,624,582,2856173,1707
20190412,587,546,622,541,6068676,3598
20190411,542,538,543,534,123267,66
20190410,534,546,546,532,223652,120
20190409,544,546,546,539,122543,66
20190408,543,547,547,539,130739,71
20190405,544,538,545,531,222988,121
20190404,535,530,538,529,227819,122
20190403,529,528,530,520,127938,67
20190402,526,527,528,520,113284,59
20190401,527,512,527,512,170103,89
20190329,517,519,519,505,147180,75
20190328,518,520,521,510,204116,105
20190327,515,501,525,501,340246,174
20190326,500,496,501,491,130663,65
20190325,493,506,510,488,345941,171
20190322,506,517,530,503,314276,161
20190321,517,536,536,509,332882,172
20190320,530,566,566,505,660994,347
20190319,556,566,566,551,118196,66
20190318,558,567,568,553,167955,94
20190315,553,555,567,545,259526,144
20190314,553,539,555,539,186396,103
20190313,542,560,566,540,303446,166
20190312,560,557,569,554,155134,87
20190311,558,571,571,544,197182,108
20190308,565,590,590,561,501589,287
20190307,584,596,596,572,329774,192
20190306,598,585,599,573,483775,283
20190305,582,599,601,581,341299,201
20190304,596,583,604,583,349759,209
20190228,583,615,615,575,959469,568
20190227,615,637,640,610,983913,611
20190226,630,608,635,604,1921239,1195
20190225,600,615,627,600,594928,364
20190222,611,624,662,604,4217948,2675
20190221,624,621,647,600,2736120,1715
20190220,592,547,622,544,4085636,2405
20190219,544,544,549,538,203190,110
20190218,544,542,563,530,1041103,566
20190215,541,545,545,537,105480,57
20190214,542,545,545,536,90306,49
20190213,544,545,545,539,79975,43
20190212,542,534,543,531,180628,97
20190211,534,550,551,528,185604,100
20190208,547,548,551,540,140654,77
20190207,548,553,554,540,112948,62
20190201,547,552,554,538,223271,121
20190131,552,558,559,545,208567,115
20190130,560,563,565,555,155843,87
20190129,561,568,571,556,182055,102
20190128,568,578,580,565,145784,83
20190125,577,574,578,568,44717,26
20190124,574,572,579,564,53637,31
20190123,571,564,576,563,82608,47
20190122,572,581,585,572,162834,94
20190121,580,564,588,563,147773,85
20190118,563,564,564,552,133905,75
20190117,560,563,565,555,129446,72
20190116,561,558,562,553,252623,141
20190115,555,552,562,548,103645,57
20190114,550,563,570,543,189234,104
20190111,560,570,570,551,86874,48
20190110,564,564,586,559,322503,183
20190109,560,549,561,549,151693,84
20190108,549,554,563,548,109679,61
20190107,551,550,564,541,110210,61
20190104,555,560,560,546,69631,38
20190103,553,565,569,543,83869,46
20190102,565,570,574,550,102495,58
20181228,565,545,575,545,118600,67
20181227,550,551,560,540,174646,96
20181226,562,580,580,550,258853,145
20181224,580,597,600,577,87432,51
20181221,597,590,598,585,72545,43
20181220,590,578,598,577,176866,103
20181219,598,606,611,588,193731,115
20181218,606,619,619,600,98870,60
20181217,616,624,628,605,80621,49
20181214,624,619,626,609,156731,97
20181213,619,615,642,612,93811,58
20181212,612,600,615,600,82447,50
20181211,602,617,624,600,83722,51
20181210,617,621,623,601,128142,78
20181207,623,618,627,616,36188,22
20181206,618,631,639,610,99962,62
20181205,631,636,636,624,111125,70
20181204,638,657,665,635,172912,111
20181203,655,676,684,645,376022,248
20181130,676,673,682,663,63812,43
20181129,683,680,688,675,274134,186
20181128,683,680,689,675,106634,73
20181127,677,685,686,674,76320,52
20181126,680,683,689,675,127629,87
20181123,689,688,690,684,51833,36
20181122,688,689,696,684,184771,127
20181121,689,687,691,662,315613,214
20181120,692,694,704,689,189812,132
20181119,698,703,704,693,203123,142
20181116,703,689,711,687,288546,201
20181115,685,668,703,667,680579,467
20181114,667,667,669,660,146003,97
20181113,667,657,667,648,209000,138
20181112,667,670,673,652,259584,172
20181109,669,664,670,649,355159,235
20181108,661,653,670,643,374792,247
20181107,650,650,666,619,604177,391
20181106,648,645,654,628,528495,340
20181105,642,643,643,619,249813,159
20181102,640,630,642,625,521797,330
20181101,615,596,627,596,685153,422
20181031,600,566,620,551,608407,358
20181030,568,470,569,470,1955248,1040
20181029,597,600,618,591,519342,315
20181026,605,600,630,590,761116,458
20181025,600,592,605,580,679329,401
20181024,592,589,608,589,592685,355
20181023,592,611,613,590,806332,482
20181022,605,621,621,586,1270320,763
20181019,621,739,760,612,9063400,5901
20181018,739,738,743,727,249377,183
20181017,734,737,745,729,203393,149
20181016,737,711,740,711,221971,162
20181015,720,706,729,704,147046,105
20181012,704,650,704,650,432138,290
20181011,667,701,701,656,420917,284
20181010,713,729,729,706,239296,171
20181008,720,720,730,711,162202,117
20181005,720,744,746,708,258302,186
20181004,730,736,737,713,293018,212
